	고객질문(요청)
0	집과 직장에서 인터넷 뱅킹을 이용가능하나요?
6	이동식 USB말고 다른 방법있나요?
10	인증서를 가져올 기기에서는 어떻게 해야하나요?
12	이메일로도 가능한가요?
14	어떻게 해야하나요?
16	가정, 직장 말고도 노트북에도 가능한가요?
18	같은 방법으로 하면 되나요?
20	인터넷뱅킹이나 스마트뱅킹의 이체한도 조회를 할 수있나요?
22	조회 방법이 어떻게 되나요?
24	근데 인터넷 뱅킹이랑 스마트뱅킹이랑 차이가 뭐에요?
26	아~그렇구나. 그럼 저는 스마트뱅킹을 사용하거든요. 이체한도 조회방법을 정확히 알려주세요.
31	네. 그런데 인터넷뱅킹을 사용하는데 수수료가 어떻게 되나요?
36	그럼 다른 은행이랑 거래할 때는 수수료가 있나요?
40	스마트뱅킹을 하는데 공인인증서 비밀번호를 입력했는데 자꾸 초기 화면으로 돌아가요. 왜 그러는 거에요?
42	아~내 거 인터넷뱅킹 앱을 업데이트를 안해도 그럴 수 있다는 거네요?
45	그리고 무료 공인인증서를 증권사에서 사용할 수 있어요?
52	브라우저인증이라고 있던데 그게 어떤 거에요?
54	그게 무슨 소리에요?
60	거래내역에 따라 고객 등급에 따라 뭐 달라지는거 있어요?
62	등급은 어떻게 선정되는가요?
64	선정일은요?
66	우대기간은요?
68	몇 개의 등급으로 나눠져 있어요?
70	가장 높은 등급은 뭔데요?
72	등급 순서대로 알려주세요
74	저는 무슨 등급이예요?
76	그럼 골드 다음인 로얄로 가려면 제가 부족한 항목이 뭔가요?
78	그거 채우면 다음 등급으로 저도 올라갈 수 있어요?
80	거래내역에 따라 고객 등급에 따라 뭐 달라지는거 있어요?
82	등급은 어떻게 선정되는가요?
84	선정일은요?
86	우대기간은요?
88	몇 개의 등급으로 나눠져 있어요?
90	가장 높은 등급은 뭔데요?
92	등급 순서대로 알려주세요
94	저는 무슨 등급이예요?
96	그럼 골드 다음인 로얄로 가려면 제가 부족한 항목이 뭔가요?
98	그거 채우면 다음 등급으로 저도 올라갈 수 있어요?
100	회계 감사를 위해 기업의 거래내역을 조회하고 싶어요, 어떻게 하면 되나요?
102	어떤 방법이 있나요?
104	어디로 들어가나요?
107	회계감사용으로 최근 3개년 거래내역이 필요한데 어떻게 하면 되죠?
109	그러면 최근 3년껄 모두 볼 수 있나요?
112	필요한게 있나요?
