	고객답변
6	그렇군요.
18	우선 인터넷으로 신청해볼게요
26	네 알겠어요.
35	그렇군요.
41	이자를 3개월분 연체했어요.
45	설명이 어렵군요.
54	그렇군요.
57	네, 빨리 해결할게요.
75	그렇군요.
86	아 그럼 대출 가능할 것 같아요
105	네 가입했어요
126	네 하고 있어요
143	생활비 대출신청했어요.
174	네 받고있어요
176	아 그렇군요
178	아뇨 없어요
183	아 그렇네요
191	정말 번거롭군요
217	네 이정도면 충분해요
224	아닙니다. 자가용 주택을 담보로 대출하려고 하는데요
230	아파트 시세랑 상관없이 정해진 한도금액인가요?
232	흠 그렇군요
234	네 알겠어요.
242	없어요
247	저는 직장이 없는데요.
250	그것도 없는데요
264	그렇군요.
269	편하네요
271	네, 도와주세요.
273	네, 잠시만요.
275	네, 접속했어요.
277	그 다음은요?
282	일부상환하려고 하는데요
284	네 어제 받았어요
286	네 맞아요
292	네 그렇게 부탁드려요
297	그렇군요.
299	아뇨 괜찮아요
304	6개월 정도 된 것 같아요
306	그렇군요.
313	그렇군요.
346	사업하고 있어요
348	개인사업하고 있어요
354	그렇군요.
363	네 제 개인사정상 미리내고 싶거든요
397	편하군요
410	그렇군요.
433	2000만원정도 필요한데요
436	그렇군요.
443	OOOO요
446	네 맞아요
448	맞아요
458	생각좀하고요
461	사업자금 대출을 받고 싶은데 얼마 받을 수 있는지 궁금해요
463	네 있어요
474	흠.. 그렇군요
498	그렇군요 감사합니다
510	5백만원 정도 있어요
514	그렇군요
521	직장인 햇살론을 받고 싶은데요
531	우와 금리가 정말 높네요
570	그렇군요
576	알겠습니다 담보대출 진행 부탁드릴게요
585	만기까지 9년 남았고요
589	그렇군요
595	네 해주세요
602	맞아요
623	지금 1주일 넘었어요
625	아뇨 그런 연락 못받았어요
634	제가 전화를 못 받으면 담당자에게 문자를 남겨달라고 해주세요.
636	급해서요. 빨리 부탁드립니다.
663	지방 외곽지쪽인데요
666	그렇군요
668	시세가 오르는 추세라서 제가 구입하는 가격이 더 높아요.
670	그렇군요..
693	그렇군요
707	모바일 앱으로 할 수 있다니 편하군요
715	그렇군요
729	제가 알고 있던 금액이랑 좀 다르군요
737	그렇군요. 이자포함 금액 알려주시면 바로 입금할테니 처리해 주세요
774	그럼 지금 상환할게요
787	우선200만원 신용대출을 하고싶은데요
812	2015년에 받은 대출을 상환하고 싶어요
814	그럼 그렇게 해주세요
833	그렇군요
841	집주인이 전세금을 올려 달라고 해서요.
849	그렇군요
907	맞아요
920	없어요 감사합니다
923	28살요
930	작은 회사요
951	아직 정하지 못했어요
957	그럼 300만원 이하로 해야겠네요
963	지금 직업은 있어요
967	제일 많이 받을 수 있는 최대한요
980	아니요
983	중소기업에 다니고 있는데요
985	2달정도 됐어요
987	그럼 지금은 대출이 안되는군요
1038	주인한테 먼저 물어봐야 겠네요
1046	네 0000이요
1056	25일요
1060	아니요. 수고하세요
1063	콜센터 번호 안내해주세요
1069	방문할 상황이 안되는데요
1079	그 방법이 좋겠네요
1083	000. 000000이요
1085	00000이요
1088	5건 맞을거예요
1090	안내해주세요
1097	없어요 
1099	일단 그렇게 해주세요
1104	그런것도 있어요?
1123	네 필요해서요
1136	3년정도요
1143	되는군요.
1147	대출메뉴 찾았어요
1149	보이네요
1153	한가지 더요.마이너스통장 문의요
1159	아 그렇군요
1163	제꺼 가능한지 조회좀 해주세요
1165	000에 000000이요
1167	00000이요
1185	네 그게 좋겠어요
1187	네 가입되어 있어요
1194	그렇군요. 등록했어요
1196	들어갔어요
1198	아 알겠어요
1215	자세한 내용 상담원이랑 연결하고 싶어요
1249	아무날짤도 괜찮나요?
1257	그럼 다음달부터 20일 결제일로 변경되는 거네요
1265	네 가입했어요
1267	서울은행 인터넷뱅킹 이용 할 수 있어요
1269	네 따라해볼께요
1273	네 보여요
1275	잔액이 조금 부족하네요
1277	그렇군요
1284	지금 27살이구요
1290	000에 000000이요
1292	00000이요
1298	그것밖에 안되요?
1304	젤 쉬운 방법으로요
1327	자세히 설명좀 해주세요
1329	네 맞아요
1343	네 그렇게 해주세요
1358	아저씨한테 먼저 얘기해봐야 겠네요
1366	OO은행요
1368	잠시만요
1370	네 이체로 들어갔어요
1372	네 그렇네요
1383	네 그렇게 해주세요
1385	000에 000000이요
1387	0000이요
1403	정확한 금액은 모르겠어요
1407	네 0000이요
1419	무통장입금으로 할게요
1423	오우 방법좀 알려주세요
1440	좋은 서비스네요
1450	두개 밖에 안되면 10일로 해주세요
1463	네 도와주세요
1469	없어요
1471	그렇게 해주세요
1479	그렇군요 감사합니다
1483	제가 지금 30살이거든요
1489	000에 000000이요
1491	00000이요
1493	회사 경리예요
1495	연봉 2천 좀 넘어요
1497	아 많네요. 다행이예요
1506	아 아쉽네요
1512	아 계좌에 해당된단 말이군요
1516	네.그렇군요.
1518	아니요.없습니다.
1520	네. 수고하세요.
1526	네 선택했어요
1528	보이네요
1530	편하네요.
1538	아니요.. 
1540	네. 수고하세요.
1544	네, 입력했어요.
1550	10일로 바꿔주세요
1558	없어요.
1574	진짜 적어요
1577	진짜 비싸네요
1583	네 OTP를 가지고 있어요
1605	지금은 다른 은행으로 월급을 받고 있어요
1608	아니요 없어요
1610	네 알려주세요
1660	아니요  수고하세요
1661	계좌이체를 할 때 공인인증서를 사용하고 있어요
1677	노트 9를 사용중이예요
1683	아니요 
1687	네 완료 되어져 가요
1689	네 로그인 되었어요. 
1694	아이폰 사용하고 있어요
1698	조만간 폰을 교체할 것 같아서요
1701	카드사용 한도금액 상향 가능하다는 문자메세지를 받았어요
1704	네 입력했어요
1711	1600만원까지 상향은 필요 없을 듯 합니다.
1713	1300만원정도 올려주세요
1719	아니요 괜찮습니다.
1726	네 현금서비스 받을 일이 없을 것 같아요
1728	그럼 현금서비스 금액 없애주세요
1730	네 입력했어요
1752	알려주세요
1778	아니요 없습니다.
1782	아니요 ATM기 입니다.
1797	그럼 지금 바로 콜센터에 전화부터 해야겠네요.
1806	대출에 대한 자세한 상담을 받고 싶어요
1838	잠깐 사용할 금액이라서 예탁금해지보다는 담보대출이 더 나을것 같네요.
1858	송금수수료가 발생하는군요
1886	00월 15일날 토요일에 송금했어요
1888	오후 2시에요
1891	미국이요
1902	전세자금이 급하게 필요합니다.
1910	아니요
1912	아니요 없습니다.
1926	100만원 밖에 안되는 군요
1937	5회 이체가능하군요 알겠습니다.
1943	입력완료 했어요
1946	지금 입급금액이 큰 적금이요?
1962	네 인터넷스마트뱅킹이용하고 있어요
1969	재등록도 가능하군요
1976	공인인증서는 있어요
1997	그럼 포인트는 3000점 받을 수 있군요
2003	통장 발급시에 신청했으면 좋았을텐데요
2015	번거롭군요
2041	네 증권계좌개설할때 같이 발급받았어요
2043	네 2016년도 8월로  되어있어요
2060	네 해주세요
2062	카카오톡으로 인증해 주세요
2065	생활 자금대출로 해주세요
2097	네 그런거 같아요
2099	아니요 몰라요
2101	여기서는 현금인출기 없어요
2103	네 편의점은 바로 있어요
2105	아하, 편의점에도 인출기가 기기가 있군요
2114	없는것 같아요
2118	지금 여기가 시골이라서 잘 모르겠어요
2127	OO은행통장 사용하고 있어요
2129	네 설치는 되어있어요
2134	오, 됐네요 감사합니다.
2140	진짜요?
2143	통장에 잔액은 있어요
2158	5천만원이요
2160	5천만원짜리 한장으로 받았아요
2164	다행이네요
2175	전화부터 해봐야겠네요
2178	네 백만원권 수표 6장이요
2180	그래야 할 것 같아요
2200	안내해주세요
2214	그럼  회사에서 퇴직금을 못주는 일은 없겠네요
2218	ATM기는 뭐예요?
2220	00은행 00지점이요
2223	네 현금으로 이체할려구요
2227	뭐가 다르군요
2232	다행이네요
2238	네 가상계좌는 받았는데 은행영업시간을 놓쳤어요
2243	나만 몰랐나봐요
2245	00은행 부스가 아파트 입구쪽에 있어요
2247	수표밖에 없어요
2250	바로 가서 입금해야겠네요
2252	도움됐어요
2255	없어요
2258	아니요 
2262	아파트 입구쪽에서 언뜻 본것 같아요
2271	그래주시면 감사하구요
2273	6시가 다 됐네요 얼른 가야겠어요
2278	출금할 일이 있어서 찾아보고 있는데 없네요
2287	가까운 곳으로 부탁드려요
2289	네 맞아요
2293	00아파트 앞이 제일 가깝네요
2295	네 많이요
2298	거래은행은 00은행인데 00은행 ATM기를 사용할려구요
2300	우선은 입금만 하구요 다음번엔 출금할 일이 있을것 같아요
2318	그것도 알려주세요
2323	쫌 많이 멀어요
2328	몰랐네요. 진작좀 알려주시지
2333	다행이네요
2335	빨리 가서 출금부터 해보구요
2338	네 OO은행 현금카드 가지고 있어요
2346	좋네요
2348	몰랐으니까요
2350	남편이 얘기를 안해줬네요. 월급통장이라서요
2354	알겠어요, 고마워요
2360	항시 은행가서 납부했어요
2369	그럼 핸드폰으로 하지요 뭐
2379	친구는 보니까 일년에 한번 내고 말더라구요
2386	감사합니데요
2389	진짜요? 몰랐는데
2394	내가 잘 못 봤나보네요
2400	몰랐는데, 알았으니 다행이네요
2406	네 알려주셔야겠네요 제가 잘 몰라서요
2413	생각보다 간단하네요
2418	네 계속 연1회 납부하고 있었거든요
2420	네 그러고는 있었어요
2431	그거 좋네요
2438	제가 자동차세를 1월에 납부했거든요
2440	근데 연납으로 10% 할인 받아서 냈어요
2458	네 받긴 했는데요
2460	차 소유주는 제가 맞는데요, 아버지가 타고 계시거든요
2462	네 그래서 아버지가 세금을 낼려구요
2464	네 세금 내주시기로 하고 차를 사용하시는 거거든요
2466	네 지금 보고 있어요
2468	아 그렇군요
2474	신용카드가 필요했어요
2478	네 요번달 말일까지 납부일이네요
2482	빨리 납부해야겠네요
2494	좋네요
2498	고지서는 제가 받았어요
2500	네 가상계좌를 제가 아버지한테 알려드렸거든요
2502	아니요 말했어요
2504	근데 아버지가 367,800원인데 370,000입금 하셨데요
2506	그러신것 같아요
2510	다행이네요
2519	네 자세히 보니까 돈입금을 잘 못했네요
2523	지금 접속해 볼께요
2527	과오납된 금액이 0원이예요
2529	네 10,000원 정도 더 납부했거든요
2538	한번 알아나 볼려구요
2552	아직 잘 이해가 안되는 부분이 많네요
2574	그럼 서울 안가도 되네요
2578	네 퍼뜩해주세요
2580	저번달 15일이요
2582	매달 15일이요
2584	네. 한꺼번에 갚았어요
2590	대출금 갚는데 정신이 팔려서 못들었나봐요
2593	그래도 다행이네요
2599	어제 이자 두번출금되서 전화드렸어요
2602	네 맞아요
2605	네 어제 통화했었어요
2610	아 틀린데요
2612	맨 끝에 00이 더 있어요
2614	OOOOOO-OO-OOOOOO-OO이요
2619	현금서비스요
2625	저번달에 한번 온것 같은데요
2632	네 현금서비스 금액을 없애놨었거든요
2634	많이 필요없어요, 혹시나 해서요
2640	잘 됐네요
2647	그렇네요, 20일 맞아요
2666	내일날짜요?
2670	이자 많네요
2678	전세계약서 대출이요
2682	찾아주셔셔 감사해요
2688	그것도 조건이 있군요
2691	복잡하네요
2699	상담하고 전화를 끊었는데 KCB 그게 궁금해서요
2702	해당되는지 궁금해요
2704	그렇군요
2714	그게 필요한거니까요
2718	네 은행마다 적용하는 신용등급이 다르더라구요
2731	연체는 작년에 두번 했었거든요
2733	네 올해는 연체한적은 없는 것 같아요
2738	갑자기 궁금해서요
2740	아니요 아직은 없어요
2743	뜬소리였네요
2748	다르다니 황당하네요
2751	그렇군요
2754	간단한 방법이 있었네요
2758	아니요
2761	신용등급이 낮을 수록 대출금리가 비싸다고 해서요
2778	네. 엄마가 잠깐동안 쓰라고 주셨어요
2781	네 말해주고 갔어요
2791	저요
2795	정말 감사드려요
2799	문자로 간편결제하면 할인해 준다고 해서요?
2802	네 간편결제 5천원 할인혜택 된다는 내용이예요?
2806	그래요
2809	간단하네요
2812	그건 잘 못 봤네요
2818	뭐  문자가 하나 오긴했는데 잘 모르겠네요
2824	카드 등록해야하는군요
2834	삼성페이를 쓰고 있어서요
2838	문자로 와서 간편결제를 등록하고 있어요
2845	설치는 되어 있어요
2847	잠깐만요
2849	찾았어요
2851	그렇군요
2859	친구도 저랑 같은 카드 쓰고 있거든요
2870	합해서요
2875	혜택이 있다면 사용해 볼께요
2878	네 학생이예요
2880	생일이 지났으니까  맞아요
2882	아니요 집앞에 ATM기에서 할려구요
2891	엄마한테 말하고 가는건데요
2895	무조건 엄마랑 같이 가야하는거네요
