	고객질문(요청)
0	대출금리가 주변사람들 보다 높은 것 같은데 낮출 수 있는 방법 없나요?
2	그게 뭔가요?
4	신청했는데 안될 수도 있나요?
7	어디서 신청하나요?
9	인터넷 신청절차에 대해서 설명좀 더 해주세요
11	그러면 끝인가요?
13	별도의 제출 서류가 있나요?
15	결과 통지는 어떻게 받을 수 있는자요?
20	신용대출금리조회는 어디에서 하는건가요?
21	금리 비교를 하고 대출을 받고 싶은데요?
23	신용등급이 어떻게 되시나요?
27	직장인 대출의 경우 금리에 영향을 주나요?
29	변동금리만 나오나요?
31	변동금리를 선택하는 것이 이득인가요?
33	혹시 중간에 상환하면 수수료가 발생하나요?
36	중도상환시 신용등급에도 영향을 미칠 수 있나요?
40	대출 연체하면 어떻게 되나요?
43	지연배상금이 뭐에요?
48	감면제도는 없나요?
50	감면 후 금액은 어떻게 되면 되나요?
52	예약이체도 가능한가요?
55	다음달에도 못갚으면 어떻게 되나요?
60	분양아파트 잔금대출을 하고 싶은데요?
61	어떤 방법이 있을까요?
63	한도가 어떻게 되나요?
65	소득증빙 없어도 바로 신청 가능한가요?
67	신용등급은 얼마나 되야하나요?
69	금리는 어떻게 되나요?
71	신용등급에 따라 달라질 수 있군요?
73	금리를 저렴하게 받을 순 없나요?
76	근저당 설정이 필요한가요?
80	자동차 구입할때 대출할 수 있나요?
84	대출신청 자격이 가능한지 알고 싶은데요?
87	대출금액은 얼마나 받을 수 있나요?
89	어떻게 신청하나요?
93	대출기간은 어떻게 되나요?
95	혹시 중고차를 사는 경우에도 대출이 되나요?
101	적금담보로 대출 받을 수 있나요?
103	모바일로 신청 가능한가요?
107	영업점 금리와 차이가 있을까요?
109	인터넷으로 하면 우대금리가 적용되나요?
111	한도는 얼마나 되나요?
113	신청은 아무때나 할 수 있나요?
115	대출 최소 금액이 정해져 있나요?
117	얼마부터 가능한가요?
120	담보대출 관련 문의드릴게 있는데요
121	아파트 담보대출이 가능한지 알아보고 싶은데, 인터넷으로 가능해요?
128	확인이 되면 인터넷으로 대출을 받는 건가요?
130	본인이 직접 가야하나요?
132	영업점에서 대출금액이 달라질 수도 있나요?
134	어떤 경우에 그런가요?
136	방문 영업점을 나중에 변경 할 수 있나요?
140	인터넷으로 신용대출하려구요.
144	네 무슨 문제 있으신가요?
145	신분증 사본까지 접수했는데 그 다음에 뭘 해야 하나요?
149	대출한도가 어떻게 되나요?
151	대출 승인이 되면 언제 돈이 들어오나요?
153	혹시 대출이 거절되면요?
156	거절되는 경우 사유를 알 수 있나요?
162	현금서비스를 받았는데 미리 결제가 되나요?
168	연이율은 어떻게 되나요?
170	제 연이율은 어떻게 조회할 수 있나요?
180	대출금 상환 관련 문의드릴게 있는데요
181	모바일뱅킹으로도 상환이 가능한가요?
184	대출 메뉴에서 바로 되나요?
187	원금 상환은 입출금계좌에서 빠져나가도록 하나요?
189	타행계좌로 원금상환은 안되나요?
192	중도상환수수료가 있나요?
198	중도상환시 신용등급에도 영향을 미치나요?
200	보험계약 대출 신청하려고 하는데요
203	이자는 어떻게 지불하나요?
207	인터넷이나 모바일로 하는 방법은 없어요?
209	어떻게 하는건가요?
211	통장은 제 계좌만 되는건가요?
213	기존에 납부하던 계좌로만 가능한가요?
220	주택담보대출이 가능한지 알고 싶어요.
228	대출한도는 어떻게 되나요?
235	신청은 어떻게 할 수 있나요?
240	마이너스통장으로 대출 가능할까요?
243	어떻게 만들면 되나요?
245	필요한 서류가 있나요?
248	재직증명서는 필수인가요?
252	얼마까지 받을 수 있을까요?
254	요즘 마이너스 통장 대출금리는 어느정도 되나요?
257	저희 집에서 가까운 영업점 안내해 주시겠어요?
260	주택청약으로 담보 대출 가능할까요?
262	얼마까지 빌려주나요?
265	이자는 얼마쯤 되나요?
267	대출신청은 어떻게 하나요?
288	왜 다시 받아야 하나요?
290	그럼 가상계좌를 다시 보내주시겠어요?
300	대출 문의좀 드릴게요
302	지금 중소기업에 다니고 있는데 대출이 얼마나 될까요?
309	한도는 얼마정도 될까요?
311	연봉 3천만원 정도인데 얼마인지 알 수 없나요?
314	그럼 대출신청후 승인까지는 얼마나 걸리나요?
316	다른 대출이 있으면 한도에 영향이 있나요?
320	든든학자금대출 받고 싶은데요
324	이자는 얼마나 되나요?
326	이자는 언제 내나요?
328	원금상환은 어떻게 하나요?
330	대출기간은 얼마나 되나요?
332	거치기간이 무슨 뜻이에요?
334	부모님 동의를 받아야 하나요?
340	신용대출을 인터넷으로 신청 할 수 있나요?
342	직접 영업점에 가야 하나요?
345	직장인이신가요 사업자신가요?
352	거래가 있으면 우대 금리가 있나요?
356	마이너스 통장으로도 만들 수 있나요?
360	대출이자 관련 문의하고 싶은데요
361	혹시 이자 선납은 가능한가요?
368	고정금리인가요 변동금리인가요?
371	모바일로도 가능한가요?
373	어떻게 하면 되나요?
377	이자 납부내역 조회는 어떻게 하나요?
380	보험계약대출 조건 알아보고 싶은데요
382	보험계약대출 신청 대상 기준은 뭔가요?
384	신청인 기준이요
386	다른 기준은 없나요?
388	대출지급계좌 기준은 별도로 있나요?
391	보험대출이 안되는 경우도 있나요?
393	그럼 보험대출을 받아도 상품해지만 안하면 보험금 수령은 지장 없나요?
395	모바일로 대출신청 가능할까요?
400	주택담보 대출 받으려고 하는데 필요한 서류가 뭐가 있나요?
402	작년도 급여활동이 없어서 증빙할 서류가 없는데요?
404	전년도에 신용카드 사용액이 얼마정도 되시나요?
408	그러면 대출한도가 얼마나 나오나요?
411	대출기간은 얼마로 설정해야 많이 나오나요?
413	1억 이상은 안되나요?
415	그럼 내년에도 추가로 대출신청이 가능한가요
419	직장 들어간지 얼마 안됐는데 신용대출 가능한가요?
423	얼마까지 대출이 가능할까요?
425	직장인이신가요?
431	직장인 대출을 신청하는 경우엔 얼마정도 받을 수 있나요?
434	다른방법 없을까요?
439	보험약관대출 문의드리고 싶은데요
450	그거밖에 안돼요?
452	혹시 제 아내 약관대출도 확인 가능할가요?
454	가족인데요?
459	사업자금 대출 관련 문의드리고 싶은데요
470	검토를 받으면 신용등급에 영향을 줄 수 있나요?
472	신용등급이 얼마 이상이어야 대출이 가능한가요?
479	대출 받을 수 있다고 문자가 왔는데 궁금해서 문의드려요
481	어떤 내용의 문자를 받으셨나요?
484	신청하면 바로 대출이 가능한가요?
486	한달내에 받을 수 있는건가요?
488	서류도 필요없나요?
490	얼마 대출 가능한지 알 수 있나요?
492	이율은 알 수 있나요?
494	우대금리 받을 수 있나요?
496	어떤 방법이 있나요?
499	서민금융대출 문의드릴려고 전화했어요
502	신용이 낮은 계층한데 해주는 대출아닌가요?
504	신청해서 안될수도 있는건가요?
506	한도는 얼마 까지 인가요?
508	다른사에 카드론 대출이 있는데 괜찮나요?
512	그럼 그 부분은 제외하고 받나요?
515	조회하면 다 나오나요?
519	햇살론 관련 문의 드릴려고 전화했어요
525	최대한도가 얼마인가요?
527	최대얼마까지 기간이 가능해요?
529	금리가 높을까요?
532	금리를 낮추진 못해요?
534	그럼 지금 조회 해줄 수 있나요?
539	소상공인 대출 받으려 하는데요?
541	한도가 얼마나 되나요?
543	변동금리인가요?
545	법인이신가요 개인사업자 이신가요?
547	상환기간은 얼마나 되나요?
