	상담사답변
1	가계대출이나 신용대출에 한해서 금리인하요구권을 신청하실 수 있습니다
3	은행여신기본거래약관상 채무자가 본인의 신용상태에 변동이 있는 경우 증빙자료를 은행에 제출하고 재평가를 받아 금리변경을 요구할 수 있는 제도를 말합니다. 
5	은행의 평가 결과에 따라서 금리인하가 되지 않을 수도 있습니다
8	해당 사유를 증빙하는 서류와 신분증을 지참하시고 영업점 방문 또는 당행 홈페이지, 모바일뱅킹, 고객센터 등을 통하여 문의하시기 바랍니다
10	해당 사유를 증빙하는 서류를 준비 후, 당행홈페이지 -> 대출 -> 금리인하요구권 ->신청 화면에서 접수 가능합니다 
12	저희가 금리인하를 요구하는 고객에게 신용상태 개선을 확인하는 데 필요한 자료의 제출을 요구할 수 있습니다
14	금리인하요구 시에는 별도의 제출 서류를 준비하지 않으셔도 되며, 대출 실행 후 언제든지 금리인하요구권을 신청하시면 되십니다.
16	금리인하요권의 결과 통지방법은 유선, 우편, 문자메세지 등으로 안내하여 드립니다
19	네 고객님 알겠습니다
22	일반적 대출금리 소개는 인터넷뱅킹의 대출상품별 안내페이지에서 확인할 수 있습니다.
25	정부지원 서민대출 햇살론이나 새희망홀씨를 통해 확인해드리는 방향이 좋아보입니다
28	직군 및 연봉대비 부채비율에 따라 달라질 수 있습니다
30	아닙니다. 변동금리 뿐 아니라 고정금리도 확인하실 수 있습니다. 
32	금리가 내려가는 추세이면 변동금리를 선택하는 것이 유리합니다. 
34	중도상환수수료가 발생할 수 있습니다.
37	영향을 미치되, 등급 향상을 기대할 수 있습니다
39	네 감사합니다
42	연체하시면 지연배상금액이 부과됩니다.
44	계약상의 의무를 지체한 경우에 지체상금율과 지체일수를 곱한 금액을 현금으로 납부하는 것을 말합니다
47	네, 연체한 이자는 약정이자보다 높은 이자율이 적용됩니다.
49	보유재산 및 소득이 없거나 채무상환능력이 낮은걸 서류로 증명하시면 됩니다
51	당행이 지정한 채무자 명의 가상계좌로 매월 입금하시면 됩니다
53	본인 주거래 은행에서 당행 가상계좌로 자동이체를 등록을 통한 매월 입급으로 가능 합니다
56	지연배상금액이 계속 커질 뿐만 아니라, 신용등급이 크게 하락할 수 있습니다.
58	다른 문의사항 있으신가요?
62	분양권 소유자 신용대출을 받으실 수 있습니다
64	한도 5천만원에 분양권소유자만 가능하고 중도금은 무관합니다
66	네 분양권 소유자이시면 절차없이 당일처리 가능합니다
68	6등급 이내면 되시고, 7등급일 경우 예외승인도 가능합니다
70	6.9%에서 13% 입니다
72	그렇습니다
74	중도금 1회이상 실행시에 예외승인 및 할인금리 적용해드리고 있습니다
77	보존등기 완료시에 근저당 설정방식도 있습니다
79	네 감사합니다
85	신차를 구입하는 고객으로 소득 증빙이 가능한 만 19세 이상의 고객을 대상으로 하고 있습니다. 대출대상은 6개월 이상 근무하신 근로소득자 입니다
88	차량 판매가격 내에서 최저 3백만원부터 최고 5천만원까지 대출 가능합니다.
92	네, 인터넷뱅킹이나 스마트폰뱅킹으로 신청하시면 됩니다.
94	최소 1년부터 최대 10년까지 원리금균등분할 상환조건입니다.
96	네, 가능합니다. 단 자동차매매업자가 알선하지 않은 개인간 매매거래 제외됩니다.
102	네 받으실 수 있습니다
106	그럼 신청 가능합니다
108	네 다릅니다
110	네 인터넷으로 신청 할 경우 0.1% 우대 금리를 드립니다
112	현재까지 납입 금액의 90%까지 받을 수 있습니다
114	예금 가입후 1일이 경과해야 신청 가능 합니다
116	네 정해져 있습니다
118	100만원 입니다
122	네 인터넷으로 조회 가능합니다
127	인터넷대출-주택금융대출에서 가능여부와 금리를 확인 할 수 있습니다
129	승인여부가 확인되시면 희망 영업점을 선택하셔서 내점하시면 됩니다
131	네 직접 내방하셔야 합니다
133	네 달라질 수도 있습니다
135	고객님이 기입하신 내용과 서류가 불일치 할 경우 입니다
137	네 변경 가능합니다
139	고객센터에 전화하셔서 변경하시면 됩니다
150	본 상품은 최대한도 200만원입니다.
152	승인되면, 즉시 지정하신 계좌로 입금됩니다.
154	거절되는 경우에는 문자를 받으시게 될 것입니다.
157	모바일로 접수하시는 경우에 따로 사유를 알려드리진 않고, 직접 전화 주셔야 합니다
159	네 감사합니다
163	네 가능합니다
167	선결제 수수료는 이용금액x사용일x연이율로 계산됩니다
169	연이율은 신용등급 소득수준 등 고객별로 상이해서 모두 다릅니다
175	그러면 고객님 명세표에 기입되어 있으십니다
177	다른 문의사항 있으신가요?
179	네 감사합니다
182	네 모바일로 대출상환 가능하십니다
185	대출메뉴 아래 원금상환 메뉴를 클릭해 주시면 됩니다.
188	네, 당행의 입출금계좌에서 상환금액이 빠져나갑니다.
190	네 바로는 안되시고, 번거롭지만 타행계좌에서 당행으로 송금하시고 진행하셔야 합니다
197	3년이 지나셨으면 중도상환수수료는 따로 부과되지 않습니다.
199	긍정적 영향은 미칩니다
202	네 가능하십니다
204	자동이체 하실 수도 있고, 직접 납부하는 방식도 있습니다
206	고객센터로 전화주시면 고객님 명의로 된 가상계좌를 보내드립니다
208	당행 모바일뱅킹앱을 다운받으시면 편하게 진행할 수 있습니다
210	앱에 접속하셔서 이자지급란에서 절차대로 진행하시면 됩니다
214	변경하시려면, 고객센터로 문의주시고 몇가지 서류 제출하시면 됩니다
218	네 감사합니다 상담 종료 하겠습니다
225	그러시면 소득증빙자료가 필요합니다
227	전기 직장급여나 사업소득관련자료를 제출하셔야 합니다
229	연에 1억정도 됩니다
231	아파트 구입시에는 금액 변동이 있지만, 주택을 담보로 대출하는 경우엔 동일합니다
233	국토부에서 정한 방침이기 때문에 그렇습니다
236	네, 소득증빙자료와 아파트 등기부등본을 지참하셔서 영업점을 방문해 주시면 됩니다.
244	영업점을 방문해 주시거나 인터넷뱅킹에서 신청하실 수도 있습니다. 
246	신분증사본, 재직증명서,그리고 급여증명서 입니다
249	재직증명서가 없으면 사업자 등록증만 있어도 괜찮습니다
251	그런 경우에는 소득금액증명원과 고객님의 신용도에 따라 마이너스 통장 개설여부가 결정됩니다.
253	신용도 조회가 필요하기 때문에, 전화상담보단 영업점에 직접 방문하시길 권유드립니다
255	 보통 최저 2%에서 최대 4% 사이입니다.
258	전화주신 연락처로 문자 발송해드렸습니다
261	네 대출 가능합니다
263	중도금 납부하면 진행이 가능하고, 예금액의 80%까지 드립니다
266	신용등급에 따라 달라지는데 보통 3.2%정도 됩니다
268	인터넷뱅킹에서 신청하시면 됩니다
274	천천히 진행해도 됩니다
278	대출금액을 넣으시고 신청하시면 됩니다. 추후 심사를 통해서 금액이 조정될 수 있는 부분 양지해주시기 바랍니다
287	그러시면 가상계좌를 다시 받으셔야 합니다
289	하루 경과하게 되면 이자가 달라지기 떄문에 그렇습니다 고객님
293	금일에 이체를 못하시면, 추가로 이자가 붙는 부분 양지해주시길 바랍니다
296	중도상환수수료가 발생할 수 있습니다.
308	재직증명서, 신분증사본, 소득증명서를 지참하셔서 영업점에 방문하시면 됩니다
310	신용등급 등에 따라 변동이 있어서 심사 후에 알려드릴 수 있습니다
312	연봉이나 소득으로만 알 수 있는 부분이 아니라 확인이 어렵습니다
315	서류만 제출되시면 심사후에 당일에도 바로 알려드릴 수 있습니다
317	네 대출만큼 한도가 줄어들 수 있습니다
325	현재 기준으로 2.2% 입니다
327	일반학자금대출이 아니셔서 취업 전까지 이자지급은 유예해드립니다.
329	원리금균등방식으로 하셨으면 취업이후 이자와 함께 상환하게 되십니다
331	거치기간 상환기간 각 10년씩, 최대 20년입니다
333	거치기간이란 이자만 납입하는 기간을 의미합니다. 
335	따로 부모님 동의절차를 구할 필욘 없습니다
338	네, 가능합니다.
341	죄송하지만 인터넷으로는 신청이 불가능합니다
343	네 영업점 방문하셔야 합니다
349	그러시면 소득증빙서류와 신분증 사본만 제출하시면 됩니다
351	네 관계없습니다
353	가입상품이 있으시면 우대금리를 제공해 드릴 수 있습니다
357	상환 방식은 직접 선택 하시면 됩니다
359	네 감사합니다 상담 종료 하겠습니다
370	금리 변경 예정일이 없다면 원하시는 날짜에 선납 가능 합니다
372	네 납부 하실 수 있습니다
374	모바일 뱅킹 접속하셔서 대출이자 조회클릭하시고 납부란에서 진행하시면 됩니다
378	마찬가지로 모바일뱅킹 접속하셔서 대출이자 조회클릭하시고 조회란에서 확인할 수 있습니다
383	보험 가입일로부터 1달이 경과되어야 합니다
385	보험계약자와 자동이체 하시는 예금주가 동일해야 합니다
387	보험상품마다 차이가 있으나 대체로 언급한 내용이 주요합니다
389	보험료가 3회 이상 자동이체로 출금된 계좌이셔야합니다
392	순수보장형보험은 불가능합니다
394	그렇습니다
396	홈페이지나 모바일뱅킹으로 가능하십니다
398	네 그렇습니다
401	네 급여명세표나 갑근세원천징수확인서, 소득금액증명원 서류 제출해주시면 됩니다
403	그러시면 신용카드사용액을 통해 연간소득으로 환산하는 방법도 가능합니다
407	신용카드 사용액이 2000만원이시면 추정소득은 약 4000만원입니다.
409	정확한 한도는 신용조회와 서류 심사를 통해서 알려드릴 수 있습니다
412	대출기간은 최대 20년으로 설정하시면 대출한도는 1억원까지 가능합니다.
414	아파트 담보대출은 정부방침상 1년에 최대 1억이 가능합니다
416	네, 그렇습니다.
418	감사합니다 상담 종료하겠습니다
422	만 20세 이상이시면 신청 가능하십니다
424	소득과 신용도에 따라 다르기 때문에 답변드리기 어렵습니다
432	네 연봉을 기준으로 하면 약 1000만원정도 받을 수 있습니다
435	은행에 직접 내방하셔서 상담하시는게 좋습니다
437	다른문의사항 있으신가요?
444	네 확인되셨습니다
449	현재 고객님 명의로 가입된 보험으로 최대 300만원 가능하십니다
451	보험가입기간이 비교적 오래되지 않아서 그런 점 양해 부탁드립니다
453	당사자가 직접 하셔야 합니다
455	개인정보보호법상 어려운점 양해부탁드립니다
468	사업자금 대출한도나 조건은 사업소득액과 신용등급에 따라 달라집니다
471	네 영향가지 않습니다
473	사업자금대출의 경우에는 신용등급 3등급 이상이어야 가능합니다
476	네 그렇습니다 
478	네 상담 종료하겠습니다
483	무보증, 무담보 신용대출로 자동승인 대상 고객에게 발송된 문자입니다
485	보통 한 달이 기한입니다
487	네 그렇습니다
489	신분증이랑 소득금액증명원만 있으면 됩니다
491	영업점에 내방하셔서 상담하셔야 알 수 있습니다
493	직접 가서 확인해보셔야 합니다
495	네 있습니다
497	급여이체 받으시면 우대금리 적용됩니다
501	세부요건이 은행별로 달라서 신청하면 무조건 되는건 아닙니다
503	금융취약계층을 위한 상품인건 맞습니다
505	승인 거절도 될 수 있습니다
507	기간은 5년이고 최대 3천만원입니다
511	새희망홀씨 대출에 포함되어 심사됩니다
513	네 5백만원이면 최대한도가 2500만원이 되십니다
516	정확한 한도 조회가 가능하십니다
518	상담 종료하겠습니다
524	신용등급까지 같이 포함해서 심사해야 정확하게 알 수 있지만, 일단 연소득으로는 가능하십니다
526	정확하진 않지만 연봉기준 1500만원 정도 가능하십니다
528	 5년입니다.
530	금리는 올해기준 10.5% 내외입니다
533	신용도에 따라서 금리가 정해지기 떄문에 정해진 금리는 아닙니다
535	고객님 연락처로 본내드린 개인정보동의 문자에 확인해 주시면 추가로 진행하겠습니다.
537	감사합니다 심사후에 결과를 문자로 전송해드리겠습니다
542	5천만원 내외입니다
544	변동과 고정금리 중에 선택하실 수 있습니다
548	신용보증서의 만기일 이내 입니다
550	네 가능하십니다
552	기간연장은 조건에 따라 상이하기 때문에 확정적으로 말씀드리기 어렵습니다
554	네 가능하십니다
557	거래 기여도와 년수에 따라 우대금리 적용 받으실 수 있습니다
561	네 외화예금도 담보대출이 가능하십니다
563	인터넷이나 모바일로 신청 가능합니다
565	네 당행 모바일뱅킹 앱 다운받으셔서 진행 가능합니다
567	네 일시상환방식 가능하시고, 거치상환방식도 가능합니다
569	매월 1회로 원금 대출하신 날짜에 납부하시면 됩니다
573	네 가입시 자동이체 신청 됩니다
575	다른 금융거래에서 불이익을 받으실 수 있습니다
577	고객님 연락처로 보내드린 개인정보동의 문자에 확인해 주시면 추가로 진행하겠습니다.
581	네 일단 몇가지 확인 후에 안내드리도록 하겠습니다
586	1년 지나셨으면 수수료가 발생합니다
588	대출금액에 따라 다른데 보통 1.5%정도 가산된다고 보시면 됩니다
591	중도상환수수료만 발생할 뿐이지, 빠르게 상환하시기 떄문에 오히려 신용등급 향상이 기대될 수 있는 부분입니다
598	네, 그럼 검토후 바로 안내해 드리겠습니다. 감사합니다.
607	일단 다른대출로 대환하는 방법도 있어요 고객님
609	추가대출을 받아라는 뜻은 아닙니다
611	기존 대출의 기간을 늘려서 상환의 부담을 더는 방식입니다
613	네 그렇습니다
615	최장 20년 입니다
617	그렇습니다
