대화셋일련번호,고객질문(요청),상담사질문(요청),고객답변,상담사답변,정상여부
A32426,대출금리가 주변사람들 보다 높은 것 같은데 낮출 수 있는 방법 없나요?,,,,0
A32426,,,,가계대출이나 신용대출에 한해서 금리인하요구권을 신청하실 수 있습니다,0
A32426,그게 뭔가요?,,,,0
A32426,,,,은행여신기본거래약관상 채무자가 본인의 신용상태에 변동이 있는 경우 증빙자료를 은행에 제출하고 재평가를 받아 금리변경을 요구할 수 있는 제도를 말합니다. ,0
A32426,신청했는데 안될 수도 있나요?,,,,0
A32426,,,,은행의 평가 결과에 따라서 금리인하가 되지 않을 수도 있습니다,0
A32426,,,그렇군요.,,0
A32426,어디서 신청하나요?,,,,0
A32426,,,,"해당 사유를 증빙하는 서류와 신분증을 지참하시고 영업점 방문 또는 당행 홈페이지, 모바일뱅킹, 고객센터 등을 통하여 문의하시기 바랍니다",0
A32426,인터넷 신청절차에 대해서 설명좀 더 해주세요,,,,0
A32426,,,,"해당 사유를 증빙하는 서류를 준비 후, 당행홈페이지 -> 대출 -> 금리인하요구권 ->신청 화면에서 접수 가능합니다 ",0
A32426,그러면 끝인가요?,,,,0
A32426,,,,저희가 금리인하를 요구하는 고객에게 신용상태 개선을 확인하는 데 필요한 자료의 제출을 요구할 수 있습니다,0
A32426,별도의 제출 서류가 있나요?,,,,0
A32426,,,,"금리인하요구 시에는 별도의 제출 서류를 준비하지 않으셔도 되며, 대출 실행 후 언제든지 금리인하요구권을 신청하시면 되십니다.",0
A32426,결과 통지는 어떻게 받을 수 있는자요?,,,,0
A32426,,,,"금리인하요권의 결과 통지방법은 유선, 우편, 문자메세지 등으로 안내하여 드립니다",0
A32426,,,네 알겠습니다.,,0
A32426,,,우선 인터넷으로 신청해볼게요,,0
A32426,,,,네 고객님 알겠습니다,0
A32427,신용대출금리조회는 어디에서 하는건가요?,,,,0
A32427,금리 비교를 하고 대출을 받고 싶은데요?,,,,0
A32427,,,,일반적 대출금리 소개는 인터넷뱅킹의 대출상품별 안내페이지에서 확인할 수 있습니다.,0
A32427,신용등급이 어떻게 되시나요?,,,,0
A32427,,,직장인이고 6등급입니다,,0
A32427,,,,정부지원 서민대출 햇살론이나 새희망홀씨를 통해 확인해드리는 방향이 좋아보입니다,0
A32427,,,네 알겠어요.,,0
A32427,직장인 대출의 경우 금리에 영향을 주나요?,,,,0
A32427,,,,직군 및 연봉대비 부채비율에 따라 달라질 수 있습니다,0
A32427,변동금리만 나오나요?,,,,0
A32427,,,,아닙니다. 변동금리 뿐 아니라 고정금리도 확인하실 수 있습니다. ,0
A32427,변동금리를 선택하는 것이 이득인가요?,,,,0
A32427,,,,금리가 내려가는 추세이면 변동금리를 선택하는 것이 유리합니다. ,0
A32427,혹시 중간에 상환하면 수수료가 발생하나요?,,,,0
A32427,,,,중도상환수수료가 발생할 수 있습니다.,0
A32427,,,그렇군요.,,0
A32427,중도상환시 신용등급에도 영향을 미칠 수 있나요?,,,,0
A32427,,,,"영향을 미치되, 등급 향상을 기대할 수 있습니다",0
A32427,,,알겠습니다.,,0
A32427,,,,네 감사합니다,0
A32428,대출 연체하면 어떻게 되나요?,,,,0
A32428,,,이자를 3개월분 연체했어요.,,0
A32428,,,,연체하시면 지연배상금액이 부과됩니다.,0
A32428,지연배상금이 뭐에요?,,,,0
A32428,,,,계약상의 의무를 지체한 경우에 지체상금율과 지체일수를 곱한 금액을 현금으로 납부하는 것을 말합니다,0
A32428,,,설명이 어렵군요.,,0
A32428,쉽게 말해서 연체한 만큼 가산이자율이 붙어서 이자가 늘어난다는 거죠?,,,,0
A32428,,,,"네, 연체한 이자는 약정이자보다 높은 이자율이 적용됩니다.",0
A32428,감면제도는 없나요?,,,,0
A32428,,,,보유재산 및 소득이 없거나 채무상환능력이 낮은걸 서류로 증명하시면 됩니다,0
A32428,감면 후 금액은 어떻게 되면 되나요?,,,,0
A32428,,,,당행이 지정한 채무자 명의 가상계좌로 매월 입금하시면 됩니다,0
A32428,예약이체도 가능한가요?,,,,0
A32428,,,,본인 주거래 은행에서 당행 가상계좌로 자동이체를 등록을 통한 매월 입급으로 가능 합니다,0
A32428,,,그렇군요.,,0
A32428,다음달에도 못갚으면 어떻게 되나요?,,,,0
A32428,,,,"지연배상금액이 계속 커질 뿐만 아니라, 신용등급이 크게 하락할 수 있습니다.",0
A32428,,,"네, 빨리 해결할게요.",,0
A32428,,,,다른 문의사항 있으신가요?,0
A32428,,,업습니다,,0
A32429,분양아파트 잔금대출을 하고 싶은데요?,,,,0
A32429,어떤 방법이 있을까요?,,,,0
A32429,,,,분양권 소유자 신용대출을 받으실 수 있습니다,0
A32429,한도가 어떻게 되나요?,,,,0
A32429,,,,한도 5천만원에 분양권소유자만 가능하고 중도금은 무관합니다,0
A32429,소득증빙 없어도 바로 신청 가능한가요?,,,,0
A32429,,,,네 분양권 소유자이시면 절차없이 당일처리 가능합니다,0
A32429,신용등급은 얼마나 되야하나요?,,,,0
A32429,,,,"6등급 이내면 되시고, 7등급일 경우 예외승인도 가능합니다",0
A32429,금리는 어떻게 되나요?,,,,0
A32429,,,,6.9%에서 13% 입니다,0
A32429,신용등급에 따라 달라질 수 있군요?,,,,0
A32429,,,,그렇습니다,0
A32429,금리를 저렴하게 받을 순 없나요?,,,,0
A32429,,,,중도금 1회이상 실행시에 예외승인 및 할인금리 적용해드리고 있습니다,0
A32429,,,그렇군요.,,0
A32429,근저당 설정이 필요한가요?,,,,0
A32429,,,,보존등기 완료시에 근저당 설정방식도 있습니다,0
A32429,,,알겠습니다 감사합니다,,0
A32429,,,,네 감사합니다,0
A32430,자동차 구입할때 대출할 수 있나요?,,,,0
A32430,,,,네 자동차구입 대출 상담 문의 주셨고요,0
A32430,,중고차 구매이신가요?,,,0
A32430,,,아뇨 신차구매할 예정입니다,,0
A32430,대출신청 자격이 가능한지 알고 싶은데요?,,,,0
