,대화셋일련번호,content
0,A32426,대출금리가 주변사람들 보다 높은 것 같은데 낮출 수 있는 방법 없나요?
1,A32426,가계대출이나 신용대출에 한해서 금리인하요구권을 신청하실 수 있습니다
2,A32426,그게 뭔가요?
3,A32426,은행여신기본거래약관상 채무자가 본인의 신용상태에 변동이 있는 경우 증빙자료를 은행에 제출하고 재평가를 받아 금리변경을 요구할 수 있는 제도를 말합니다. 
4,A32426,신청했는데 안될 수도 있나요?
5,A32426,은행의 평가 결과에 따라서 금리인하가 되지 않을 수도 있습니다
6,A32426,그렇군요.
7,A32426,어디서 신청하나요?
8,A32426,"해당 사유를 증빙하는 서류와 신분증을 지참하시고 영업점 방문 또는 당행 홈페이지, 모바일뱅킹, 고객센터 등을 통하여 문의하시기 바랍니다"
9,A32426,인터넷 신청절차에 대해서 설명좀 더 해주세요
10,A32426,"해당 사유를 증빙하는 서류를 준비 후, 당행홈페이지 -> 대출 -> 금리인하요구권 ->신청 화면에서 접수 가능합니다 "
11,A32426,그러면 끝인가요?
12,A32426,저희가 금리인하를 요구하는 고객에게 신용상태 개선을 확인하는 데 필요한 자료의 제출을 요구할 수 있습니다
13,A32426,별도의 제출 서류가 있나요?
14,A32426,"금리인하요구 시에는 별도의 제출 서류를 준비하지 않으셔도 되며, 대출 실행 후 언제든지 금리인하요구권을 신청하시면 되십니다."
15,A32426,결과 통지는 어떻게 받을 수 있는자요?
16,A32426,"금리인하요권의 결과 통지방법은 유선, 우편, 문자메세지 등으로 안내하여 드립니다"
17,A32426,네 알겠습니다.
18,A32426,우선 인터넷으로 신청해볼게요
19,A32426,네 고객님 알겠습니다
20,A32427,신용대출금리조회는 어디에서 하는건가요?
21,A32427,금리 비교를 하고 대출을 받고 싶은데요?
22,A32427,일반적 대출금리 소개는 인터넷뱅킹의 대출상품별 안내페이지에서 확인할 수 있습니다.
23,A32427,신용등급이 어떻게 되시나요?
24,A32427,직장인이고 6등급입니다
25,A32427,정부지원 서민대출 햇살론이나 새희망홀씨를 통해 확인해드리는 방향이 좋아보입니다
26,A32427,네 알겠어요.
27,A32427,직장인 대출의 경우 금리에 영향을 주나요?
28,A32427,직군 및 연봉대비 부채비율에 따라 달라질 수 있습니다
29,A32427,변동금리만 나오나요?
30,A32427,아닙니다. 변동금리 뿐 아니라 고정금리도 확인하실 수 있습니다. 
31,A32427,변동금리를 선택하는 것이 이득인가요?
32,A32427,금리가 내려가는 추세이면 변동금리를 선택하는 것이 유리합니다. 
33,A32427,혹시 중간에 상환하면 수수료가 발생하나요?
34,A32427,중도상환수수료가 발생할 수 있습니다.
35,A32427,그렇군요.
36,A32427,중도상환시 신용등급에도 영향을 미칠 수 있나요?
37,A32427,"영향을 미치되, 등급 향상을 기대할 수 있습니다"
38,A32427,알겠습니다.
39,A32427,네 감사합니다
40,A32428,대출 연체하면 어떻게 되나요?
41,A32428,이자를 3개월분 연체했어요.
42,A32428,연체하시면 지연배상금액이 부과됩니다.
43,A32428,지연배상금이 뭐에요?
44,A32428,계약상의 의무를 지체한 경우에 지체상금율과 지체일수를 곱한 금액을 현금으로 납부하는 것을 말합니다
45,A32428,설명이 어렵군요.
46,A32428,쉽게 말해서 연체한 만큼 가산이자율이 붙어서 이자가 늘어난다는 거죠?
47,A32428,"네, 연체한 이자는 약정이자보다 높은 이자율이 적용됩니다."
48,A32428,감면제도는 없나요?
49,A32428,보유재산 및 소득이 없거나 채무상환능력이 낮은걸 서류로 증명하시면 됩니다
50,A32428,감면 후 금액은 어떻게 되면 되나요?
51,A32428,당행이 지정한 채무자 명의 가상계좌로 매월 입금하시면 됩니다
52,A32428,예약이체도 가능한가요?
53,A32428,본인 주거래 은행에서 당행 가상계좌로 자동이체를 등록을 통한 매월 입급으로 가능 합니다
54,A32428,그렇군요.
55,A32428,다음달에도 못갚으면 어떻게 되나요?
56,A32428,"지연배상금액이 계속 커질 뿐만 아니라, 신용등급이 크게 하락할 수 있습니다."
57,A32428,"네, 빨리 해결할게요."
58,A32428,다른 문의사항 있으신가요?
59,A32428,업습니다
60,A32429,분양아파트 잔금대출을 하고 싶은데요?
61,A32429,어떤 방법이 있을까요?
62,A32429,분양권 소유자 신용대출을 받으실 수 있습니다
63,A32429,한도가 어떻게 되나요?
64,A32429,한도 5천만원에 분양권소유자만 가능하고 중도금은 무관합니다
65,A32429,소득증빙 없어도 바로 신청 가능한가요?
66,A32429,네 분양권 소유자이시면 절차없이 당일처리 가능합니다
67,A32429,신용등급은 얼마나 되야하나요?
68,A32429,"6등급 이내면 되시고, 7등급일 경우 예외승인도 가능합니다"
69,A32429,금리는 어떻게 되나요?
70,A32429,6.9%에서 13% 입니다
71,A32429,신용등급에 따라 달라질 수 있군요?
72,A32429,그렇습니다
73,A32429,금리를 저렴하게 받을 순 없나요?
74,A32429,중도금 1회이상 실행시에 예외승인 및 할인금리 적용해드리고 있습니다
75,A32429,그렇군요.
76,A32429,근저당 설정이 필요한가요?
77,A32429,보존등기 완료시에 근저당 설정방식도 있습니다
78,A32429,알겠습니다 감사합니다
79,A32429,네 감사합니다
80,A32430,자동차 구입할때 대출할 수 있나요?
81,A32430,네 자동차구입 대출 상담 문의 주셨고요
82,A32430,중고차 구매이신가요?
83,A32430,아뇨 신차구매할 예정입니다
84,A32430,대출신청 자격이 가능한지 알고 싶은데요?
85,A32430,신차를 구입하는 고객으로 소득 증빙이 가능한 만 19세 이상의 고객을 대상으로 하고 있습니다. 대출대상은 6개월 이상 근무하신 근로소득자 입니다
86,A32430,아 그럼 대출 가능할 것 같아요
87,A32430,대출금액은 얼마나 받을 수 있나요?
88,A32430,차량 판매가격 내에서 최저 3백만원부터 최고 5천만원까지 대출 가능합니다.
89,A32430,어떻게 신청하나요?
90,A32430,당사에 직접 방문하셔도 되고 홈페이지에서 신청하시면 되세요
91,A32430,비대면 전용이면 온라인으로 신청하라는 거죠?
92,A32430,"네, 인터넷뱅킹이나 스마트폰뱅킹으로 신청하시면 됩니다."
93,A32430,대출기간은 어떻게 되나요?
94,A32430,최소 1년부터 최대 10년까지 원리금균등분할 상환조건입니다.
95,A32430,혹시 중고차를 사는 경우에도 대출이 되나요?
96,A32430,"네, 가능합니다. 단 자동차매매업자가 알선하지 않은 개인간 매매거래 제외됩니다."
97,A32430,네 안내 감사합니다
98,A32430,더 문의주실 사항 있으신가요?
99,A32430,없습니다 감사합니다
100,A32431,적금담보 대출 문의 합니다
101,A32431,적금담보로 대출 받을 수 있나요?
102,A32431,네 받으실 수 있습니다
103,A32431,모바일로 신청 가능한가요?
104,A32431,인터넷 뱅킹 가입 되있으신가요?
105,A32431,네 가입했어요
106,A32431,그럼 신청 가능합니다
107,A32431,영업점 금리와 차이가 있을까요?
108,A32431,네 다릅니다
109,A32431,인터넷으로 하면 우대금리가 적용되나요?
110,A32431,네 인터넷으로 신청 할 경우 0.1% 우대 금리를 드립니다
111,A32431,한도는 얼마나 되나요?
112,A32431,현재까지 납입 금액의 90%까지 받을 수 있습니다
113,A32431,신청은 아무때나 할 수 있나요?
114,A32431,예금 가입후 1일이 경과해야 신청 가능 합니다
115,A32431,대출 최소 금액이 정해져 있나요?
116,A32431,네 정해져 있습니다
117,A32431,얼마부터 가능한가요?
118,A32431,100만원 입니다
119,A32431,네 감사합니다
120,A32432,담보대출 관련 문의드릴게 있는데요
121,A32432,"아파트 담보대출이 가능한지 알아보고 싶은데, 인터넷으로 가능해요?"
122,A32432,네 인터넷으로 조회 가능합니다
123,A32432,저희 은행 고객이신가요?
124,A32432,네 그렇습니다
125,A32432,인터넷뱅킹 이용도 하고 계신가요?
126,A32432,네 하고 있어요
127,A32432,인터넷대출-주택금융대출에서 가능여부와 금리를 확인 할 수 있습니다
128,A32432,확인이 되면 인터넷으로 대출을 받는 건가요?
129,A32432,승인여부가 확인되시면 희망 영업점을 선택하셔서 내점하시면 됩니다
130,A32432,본인이 직접 가야하나요?
131,A32432,네 직접 내방하셔야 합니다
132,A32432,영업점에서 대출금액이 달라질 수도 있나요?
133,A32432,네 달라질 수도 있습니다
134,A32432,어떤 경우에 그런가요?
135,A32432,고객님이 기입하신 내용과 서류가 불일치 할 경우 입니다
136,A32432,방문 영업점을 나중에 변경 할 수 있나요?
137,A32432,네 변경 가능합니다
138,A32432,어디서 변경하죠?
139,A32432,고객센터에 전화하셔서 변경하시면 됩니다
140,A32433,인터넷으로 신용대출하려구요.
141,A32433,"네, 인터넷 대출신청을 도와드릴께요."
142,A32433,어떤 대출을 신청하셨나요?
143,A32433,생활비 대출신청했어요.
144,A32433,네 무슨 문제 있으신가요?
145,A32433,신분증 사본까지 접수했는데 그 다음에 뭘 해야 하나요?
146,A32433,고객님의 신용등급을 확인후 승인여부에 대한 답변을 받으실 거에요.
147,A32433,네 알겠습니다.
148,A32433,또 궁금한 사항이 있으신가요?
149,A32433,대출한도가 어떻게 되나요?
150,A32433,본 상품은 최대한도 200만원입니다.
151,A32433,대출 승인이 되면 언제 돈이 들어오나요?
152,A32433,"승인되면, 즉시 지정하신 계좌로 입금됩니다."
153,A32433,혹시 대출이 거절되면요?
154,A32433,거절되는 경우에는 문자를 받으시게 될 것입니다.
155,A32433,네 알겠습니다
156,A32433,거절되는 경우 사유를 알 수 있나요?
157,A32433,"모바일로 접수하시는 경우에 따로 사유를 알려드리진 않고, 직접 전화 주셔야 합니다"
158,A32433,네 알겠습니다.
159,A32433,네 감사합니다
160,A32434,현금서비스 문의 드립니다
161,A32434,네 고객님 현금서비스 관련 어떤 문의 주시겠어요?
162,A32434,현금서비스를 받았는데 미리 결제가 되나요?
163,A32434,네 가능합니다
